,First,Last,Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,weightclass
222,Everett,Sims,Everett Sims,Sexual Chocolate,"6' 5""",260 lbs.,"77.0""",Southpaw,4,1,0,,#N/A
223,Lodune,Sincaid,Lodune Sincaid,,"5' 9""",185 lbs.,--,Orthodox,15,9,0,,#N/A
224,Rob,Sinclair,Rob Sinclair,,"5' 8""",155 lbs.,--,,13,5,0,,#N/A
225,Rory,Singer,Rory Singer,Outburst,"6' 2""",185 lbs.,"77.0""",Orthodox,11,9,0,,#N/A
226,Elvis,Sinosic,Elvis Sinosic,The King of Rock n' Rumble,"6' 3""",205 lbs.,"77.0""",Orthodox,7,11,2,,#N/A
227,Mitchell,Sipe,Mitchell Sipe,No Dice,"6' 2""",245 lbs.,--,Orthodox,4,1,0,,#N/A
228,AJ,Siscoe,AJ Siscoe,Let's Go,"5' 7""",135 lbs.,--,,1,2,0,,#N/A
229,Yokthai,Sithoar,Yokthai Sithoar,,"5' 7""",143 lbs.,--,,0,1,0,,#N/A
230,Jeri,Sitzes,Jeri Sitzes,,"5' 5""",125 lbs.,--,,3,1,0,,#N/A
231,Dennis,Siver,Dennis Siver,,"5' 6""",145 lbs.,"70.0""",Orthodox,23,11,0,,#N/A
232,Chas,Skelly,Chas Skelly,The Scrapper,"5' 11""",145 lbs.,"72.0""",Orthodox,18,3,0,,#N/A
233,Matt,Skelton,Matt Skelton,,"6' 3""",265 lbs.,--,Orthodox,0,1,0,,#N/A
234,Zach,Skinner,Zach Skinner,,"5' 6""",145 lbs.,--,Orthodox,10,11,0,,#N/A
235,Brian,Sleeman,Brian Sleeman,,"5' 8""",185 lbs.,--,,9,9,1,,#N/A
236,Joe,Slick,Joe Slick,,"6' 0""",199 lbs.,--,Orthodox,16,5,3,,#N/A
237,Ray,Sloan,Ray Sloan,,"6' 1""",205 lbs.,--,,8,1,0,,#N/A
238,Kestutis,Smirnovas,Kestutis Smirnovas,,"5' 10""",200 lbs.,--,Orthodox,24,8,2,,#N/A
239,Maurice,Smith,Maurice Smith,,"6' 2""",221 lbs.,--,Orthodox,12,14,0,,#N/A
240,Patrick,Smith,Patrick Smith,,"6' 2""",225 lbs.,--,Orthodox,20,17,0,,#N/A
241,Scott,Smith,Scott Smith,Hands of Steel,"6' 0""",185 lbs.,"70.0""",Orthodox,18,11,0,,#N/A
242,Eric,Smith,Eric Smith,,--,--,--,Southpaw,1,1,0,,#N/A
243,Josh,Smith,Josh Smith,,"6' 0""",155 lbs.,--,Orthodox,9,8,0,,#N/A
244,David,Smith,David Smith,,--,155 lbs.,--,,5,1,0,,#N/A
245,Adam,Smith,Adam Smith,,--,--,--,,0,3,0,,#N/A
246,Dillon,Smith,Dillon Smith,,"6' 0""",170 lbs.,--,,0,0,0,,#N/A
247,Trevor,Smith,Trevor Smith,Hot Sauce,"6' 3""",185 lbs.,"75.0""",Orthodox,15,10,0,,#N/A
248,Anthony,Smith,Anthony Smith,Lionheart,"6' 4""",205 lbs.,"76.0""",Orthodox,35,16,0,,#N/A
249,Colton,Smith,Colton Smith,,"6' 0""",155 lbs.,"71.0""",Orthodox,7,4,0,,#N/A
250,Gilbert,Smith,Gilbert Smith,,"5' 9""",185 lbs.,--,Southpaw,12,6,0,,#N/A
251,Leslie,Smith,Leslie Smith,The Peacemaker,"5' 9""",135 lbs.,"66.0""",Orthodox,10,7,1,,#N/A
252,Devonte,Smith,Devonte Smith,King Kage,"5' 9""",155 lbs.,"76.0""",Orthodox,11,2,0,,#N/A
253,Cole,Smith,Cole Smith,The Cole Train,"5' 11""",135 lbs.,"67.0""",Orthodox,7,2,0,,#N/A
254,Nate,Smith,Nate Smith,The Savage,"5' 6""",125 lbs.,"69.0""",Switch,6,1,0,,#N/A
255,Walter,Smith-Cotito,Walter Smith-Cotito,,"5' 8""",135 lbs.,--,,4,5,0,,#N/A
256,Justin,Smitley,Justin Smitley,,--,145 lbs.,--,,10,7,1,,#N/A
257,Dmitrii,Smoliakov,Dmitrii Smoliakov,The Lifeguard,"6' 2""",253 lbs.,"74.0""",Switch,9,3,0,,#N/A
258,Louis,Smolka,Louis Smolka,Da Last Samurai,"5' 9""",135 lbs.,"68.0""",Orthodox,17,7,0,,#N/A
259,Richie,Smullen,Richie Smullen,,"5' 9""",155 lbs.,"68.0""",Orthodox,3,1,1,,#N/A
260,Devin,Smyth,Devin Smyth,,"5' 10""",170 lbs.,"72.0""",Switch,4,2,0,,#N/A
261,Denis,Sobolev,Denis Sobolev,,"6' 3""",216 lbs.,--,Orthodox,4,7,0,,#N/A
262,Peter,Sobotta,Peter Sobotta,,"6' 0""",170 lbs.,"75.0""",Southpaw,17,7,1,,#N/A
263,Renato,Sobral,Renato Sobral,Babalu,"6' 1""",205 lbs.,"75.0""",Orthodox,37,11,0,,#N/A
264,Rameau Thierry,Sokoudjou,Rameau Thierry Sokoudjou,The African Assassin,"5' 10""",205 lbs.,"78.0""",Orthodox,18,18,0,,#N/A
265,Joe,Solecki,Joe Solecki,,"5' 9""",155 lbs.,"70.0""",Orthodox,11,2,0,,#N/A
266,Chris,Solomon,Chris Solomon,,"5' 11""",155 lbs.,--,,0,0,0,,#N/A
267,Joe,Son,Joe Son,,"5' 4""",236 lbs.,--,Orthodox,0,4,0,,#N/A
268,Paul,Song,Paul Song,,--,185 lbs.,--,,2,2,0,,#N/A
269,Song,Kenan,Song Kenan,The Assassin,"6' 0""",170 lbs.,"71.0""",Orthodox,16,6,0,,#N/A
270,Song,Yadong,Song Yadong,,"5' 8""",145 lbs.,"67.0""",Orthodox,16,5,1,,#N/A
271,Chael,Sonnen,Chael Sonnen,,"6' 1""",205 lbs.,"73.0""",Southpaw,29,15,1,,#N/A
272,Cody,Sons,Cody Sons,,"5' 9""",205 lbs.,--,,3,7,0,,#N/A
273,Jin,Soo Son,Jin Soo Son,,"5' 6""",135 lbs.,"69.0""",Orthodox,9,4,0,,#N/A
274,Emiliano,Sordi,Emiliano Sordi,He-Man,"6' 2""",205 lbs.,--,Orthodox,16,7,0,,#N/A
275,Sean,Soriano,Sean Soriano,,"5' 9""",155 lbs.,"70.0""",Orthodox,14,7,0,,#N/A
276,Punahele,Soriano,Punahele Soriano,Puna,"5' 11""",185 lbs.,"72.0""",Southpaw,8,0,0,,#N/A
277,Dmitry,Sosnovskiy,Dmitry Sosnovskiy,Wicked Machine,"6' 3""",240 lbs.,"77.0""",Orthodox,11,0,0,,#N/A
278,Ben,Sosoli,Ben Sosoli,Combat Wombat,"6' 0""",265 lbs.,"72.0""",Southpaw,7,3,0,,#N/A
279,Krzysztof,Soszynski,Krzysztof Soszynski,The Polish Experiment,"6' 1""",205 lbs.,"77.0""",Open Stance,26,12,1,,#N/A
280,George,Sotiropoulos,George Sotiropoulos,,"5' 10""",155 lbs.,"71.0""",Orthodox,14,7,0,,#N/A
281,Greg,Soto,Greg Soto,,"5' 11""",170 lbs.,"73.0""",Orthodox,9,4,0,,#N/A
282,Alex,Soto,Alex Soto,Extremo,"5' 8""",135 lbs.,--,Southpaw,8,3,1,,#N/A
283,Joe,Soto,Joe Soto,One Bad Mofo,"5' 6""",135 lbs.,"65.0""",Orthodox,18,7,0,,#N/A
284,Mario,Soto,Mario Soto,Dr. Mario,"6' 0""",145 lbs.,--,,7,2,0,,#N/A
285,Andre,Soukhamthath,Andre Soukhamthath,The Asian Sensation,"5' 9""",135 lbs.,"70.0""",Orthodox,13,8,0,,#N/A
286,Bobby,Southworth,Bobby Southworth,,"6' 2""",205 lbs.,--,Orthodox,10,6,0,,#N/A
287,Jacare,Souza,Jacare Souza,,"6' 1""",185 lbs.,"72.0""",Orthodox,26,10,0,,#N/A
288,Edimilson,Souza,Edimilson Souza,Kevin,"6' 0""",145 lbs.,"74.0""",Orthodox,15,5,0,,#N/A
289,Livinha,Souza,Livinha Souza,The Brazilian Gangsta,"5' 3""",115 lbs.,"63.0""",Orthodox,14,3,0,,#N/A
290,Mario,Souza,Mario Souza,Coracao Valente,"6' 3""",185 lbs.,"79.0""",Orthodox,12,1,0,,#N/A
291,Charon,Spain,Charon Spain,,"5' 9""",155 lbs.,--,,14,26,0,,#N/A
292,Chris,Spang,Chris Spang,The Kiss,"6' 2""",170 lbs.,--,Orthodox,6,3,0,,#N/A
293,Andreas,Spang,Andreas Spang,Sweet Swede,"6' 1""",185 lbs.,--,,9,3,0,,#N/A
294,Ryan,Spann,Ryan Spann,Superman,"6' 5""",205 lbs.,"79.0""",Orthodox,19,6,0,,#N/A
295,Ron,Sparks,Ron Sparks,The Monster,"6' 5""",265 lbs.,--,,8,3,0,,#N/A
296,Tommy,Speer,Tommy Speer,,"5' 10""",170 lbs.,"71.0""",Orthodox,21,7,0,,#N/A
297,Patrick,Speight,Patrick Speight,,"6' 1""",170 lbs.,--,Orthodox,7,3,0,,#N/A
298,Sean,Spencer,Sean Spencer,Black Magic,"5' 10""",170 lbs.,"74.0""",Orthodox,12,6,0,,#N/A
299,Felicia,Spencer,Felicia Spencer,FeeNom,"5' 6""",145 lbs.,"68.0""",Orthodox,8,2,0,,#N/A
300,Sam,Spengler,Sam Spengler,The Ram,"5' 11""",185 lbs.,--,Orthodox,9,5,0,,#N/A
301,Nick,Sperling,Nick Sperling,,--,135 lbs.,--,,3,4,0,,#N/A
302,Mario,Sperry,Mario Sperry,Zen Machine,"6' 2""",205 lbs.,--,Orthodox,13,4,0,,#N/A
303,Eric,Spicely,Eric Spicely,Zebrinha,"6' 1""",185 lbs.,"73.0""",Orthodox,12,6,0,,#N/A
304,Waachiim,Spiritwolf,Waachiim Spiritwolf,Native Warrior,"5' 8""",170 lbs.,--,,12,13,1,,#N/A
305,Daniel,Spitz,Daniel Spitz,,"6' 7""",245 lbs.,"82.0""",Orthodox,6,3,0,,#N/A
306,Serghei,Spivac,Serghei Spivac,Polar Bear,"6' 3""",260 lbs.,"78.0""",Orthodox,12,2,0,,#N/A
307,Daniel,Spohn,Daniel Spohn,Dragon,"6' 4""",205 lbs.,"79.0""",Southpaw,15,6,0,,#N/A
308,Pete,Spratt,Pete Spratt,The Secret Weapon,"5' 9""",170 lbs.,--,Orthodox,25,23,0,,#N/A
309,Austin,Springer,Austin Springer,,"5' 8""",145 lbs.,"71.0""",Orthodox,12,4,0,,#N/A
310,Georges,St-Pierre,Georges St-Pierre,Rush,"5' 11""",185 lbs.,"76.0""",Orthodox,26,2,0,,#N/A
311,Bobby,Stack,Bobby Stack,,"5' 9""",155 lbs.,--,Orthodox,8,3,0,,#N/A
312,Andreas,Stahl,Andreas Stahl,Real Steel,"5' 11""",170 lbs.,--,Orthodox,10,4,0,,#N/A
313,Ron,Stallings,Ron Stallings,The Choir Boy,"6' 2""",170 lbs.,"75.0""",Southpaw,14,8,0,,#N/A
314,Cody,Stamann,Cody Stamann,The Spartan,"5' 6""",145 lbs.,"64.0""",Orthodox,19,4,1,,#N/A
315,Cristina,Stanciu,Cristina Stanciu,Barbie,"5' 3""",115 lbs.,--,Orthodox,5,2,0,,#N/A
316,Brian,Stann,Brian Stann,All American,"6' 1""",205 lbs.,"74.0""",Orthodox,12,6,0,,#N/A
317,Josh,Stansbury,Josh Stansbury,The Sandman,"6' 2""",205 lbs.,"74.0""",Orthodox,4,8,0,,#N/A
318,Dion,Staring,Dion Staring,Soldier,"6' 1""",235 lbs.,--,Orthodox,35,14,0,,#N/A
319,Lucas,Stark,Lucas Stark,,--,155 lbs.,--,,1,5,0,,#N/A
320,Clifford,Starks,Clifford Starks,,"6' 0""",185 lbs.,"78.0""",Orthodox,13,3,0,,#N/A
321,Kalib,Starnes,Kalib Starnes,,"6' 3""",185 lbs.,"74.0""",Orthodox,17,11,1,,#N/A
322,Laureano,Staropoli,Laureano Staropoli,Pepi,"6' 1""",170 lbs.,"71.0""",Orthodox,9,3,0,,#N/A
323,Damian,Stasiak,Damian Stasiak,Webster,"5' 5""",135 lbs.,"70.0""",Orthodox,10,6,0,,#N/A
324,Adam,Steele,Adam Steele,,--,170 lbs.,--,,0,1,0,,#N/A
325,Dominique,Steele,Dominique Steele,Non-Stop Action-Packed,"5' 10""",170 lbs.,"74.0""",Orthodox,14,9,0,,#N/A
326,Ricky,Steele,Ricky Steele,The Karate Kid,"5' 9""",135 lbs.,"74.0""",Orthodox,6,0,0,,#N/A
327,Eric,Steenberg,Eric Steenberg,,--,155 lbs.,--,,5,1,0,,#N/A
328,Steve,Steinbeiss,Steve Steinbeiss,The Hooligan,"6' 3""",185 lbs.,"75.0""",Orthodox,9,4,0,,#N/A
329,Ray,Steinbeiss,Ray Steinbeiss,Ipswitch Cobra,"5' 11""",170 lbs.,--,Orthodox,14,7,0,,#N/A
330,Dmitri,Stepanov,Dmitri Stepanov,,"6' 3""",217 lbs.,--,Orthodox,0,1,0,,#N/A
331,Jeremy,Stephens,Jeremy Stephens,Lil' Heathen,"5' 9""",145 lbs.,"71.0""",Orthodox,28,18,0,,#N/A
332,Aljamain,Sterling,Aljamain Sterling,Funk Master,"5' 7""",135 lbs.,"71.0""",Orthodox,20,3,0,,#N/A
333,Marc,Stevens,Marc Stevens,,"5' 9""",155 lbs.,--,,21,10,0,,#N/A
334,Joe,Stevenson,Joe Stevenson,Daddy,"5' 7""",145 lbs.,"70.0""",Orthodox,33,16,0,,#N/A
335,Maia,Stevenson,Maia Stevenson,,"5' 4""",115 lbs.,"62.0""",Orthodox,6,5,0,,#N/A
336,Luke,Stewart,Luke Stewart,,"5' 11""",170 lbs.,--,Orthodox,6,3,0,,#N/A
337,Darren,Stewart,Darren Stewart,The Dentist,"6' 0""",185 lbs.,"74.0""",Orthodox,12,6,0,,#N/A
338,Kyle,Stewart,Kyle Stewart,Gunz Up,"6' 0""",170 lbs.,"76.0""",Orthodox,11,3,0,,#N/A
339,Alex,Stiebling,Alex Stiebling,The Brazilian Killa,"6' 2""",205 lbs.,--,Southpaw,19,11,1,,#N/A
340,Tyler,Stinson,Tyler Stinson,The Evolution,"6' 3""",170 lbs.,--,,30,10,0,,#N/A
341,Dan,Stittgen,Dan Stittgen,The Anvil,"6' 1""",170 lbs.,--,Orthodox,12,5,0,,#N/A
342,Lazar,Stojadinovic,Lazar Stojadinovic,The Bronx Bomber,"5' 7""",145 lbs.,"68.0""",Southpaw,12,5,0,,#N/A
343,Denis,Stojnic,Denis Stojnic,,"6' 0""",245 lbs.,--,Orthodox,13,3,0,,#N/A
344,Julija,Stoliarenko,Julija Stoliarenko,,"5' 7""",135 lbs.,"66.0""",,9,5,1,,#N/A
345,Dustin,Stoltzfus,Dustin Stoltzfus,,"6' 0""",185 lbs.,"75.0""",Orthodox,13,2,0,,#N/A
346,Niklas,Stolze,Niklas Stolze,Green Mask,"6' 1""",170 lbs.,"74.0""",Switch,12,4,0,,#N/A
347,Ken,Stone,Ken Stone,,"5' 8""",135 lbs.,"71.0""",Southpaw,11,4,0,,#N/A
348,Ryan,Stonitsch,Ryan Stonitsch,,"5' 9""",170 lbs.,--,Southpaw,8,1,0,,#N/A
349,George,Stork,George Stork,,"5' 10""",185 lbs.,--,,7,9,0,,#N/A
350,Rick,Story,Rick Story,The Horror,"5' 9""",170 lbs.,"71.0""",Southpaw,19,9,0,,#N/A
351,Darko,Stosic,Darko Stosic,,"6' 0""",205 lbs.,"76.0""",Orthodox,13,4,0,,#N/A
352,Greg,Stott,Greg Stott,Ranger,"5' 7""",220 lbs.,--,Southpaw,0,1,0,,#N/A
353,Curtis,Stout,Curtis Stout,,"6' 1""",185 lbs.,--,Southpaw,11,12,1,,#N/A
354,Sam,Stout,Sam Stout,Hands of Stone,"5' 9""",155 lbs.,"70.0""",Orthodox,20,12,1,,#N/A
355,Tim,Stout,Tim Stout,,"5' 11""",185 lbs.,--,,12,10,0,,#N/A
356,Jesse,Strader,Jesse Strader,Sui Generis,"5' 7""",135 lbs.,"70.0""",Orthodox,5,2,0,,#N/A
357,Gennaro,Strangis,Gennaro Strangis,,--,--,--,,0,1,0,,#N/A
358,Dave,Strasser,Dave Strasser,,"5' 10""",170 lbs.,--,Orthodox,25,8,0,,#N/A
359,Daniel,Straus,Daniel Straus,,"5' 7""",145 lbs.,"71.0""",,24,7,0,,#N/A
360,Gerald,Strebendt,Gerald Strebendt,The Finishing Machine,"5' 9""",155 lbs.,--,Orthodox,9,7,0,,#N/A
361,Sean,Strickland,Sean Strickland,Tarzan,"6' 1""",185 lbs.,"76.0""",Orthodox,23,3,0,,#N/A
362,Mark,Striegl,Mark Striegl,Mugen,"5' 8""",135 lbs.,"70.0""",Southpaw,18,3,0,,#N/A
363,Hans,Stringer,Hans Stringer,,"6' 3""",205 lbs.,--,Orthodox,22,8,3,,#N/A
364,Stefan,Struve,Stefan Struve,Skyscraper,"6' 11""",265 lbs.,"84.0""",Orthodox,33,13,0,,#N/A
365,Josh,Stuart,Josh Stuart,,"5' 9""",160 lbs.,--,,1,4,0,,#N/A
366,Mike,Stumpf,Mike Stumpf,,"5' 10""",170 lbs.,--,,11,4,0,,#N/A
367,Kyle,Sturgeon,Kyle Sturgeon,,"6' 3""",225 lbs.,--,Switch,0,1,0,,#N/A
368,Tatiana,Suarez,Tatiana Suarez,,"5' 5""",115 lbs.,"66.0""",Southpaw,9,0,0,,#N/A
369,Masanori,Suda,Masanori Suda,,"5' 9""",183 lbs.,--,Orthodox,22,11,3,,#N/A
370,Genki,Sudo,Genki Sudo,Neo-Samurai,"5' 9""",155 lbs.,--,Orthodox,15,4,2,,#N/A
371,Lucasz,Sudolski,Lucasz Sudolski,,--,205 lbs.,--,,8,0,0,,#N/A
372,Daisuke,Sugie,Daisuke Sugie,Amazon,"5' 6""",160 lbs.,--,Orthodox,10,8,1,,#N/A
373,Takashi,Sugiura,Takashi Sugiura,,"5' 11""",225 lbs.,--,Southpaw,1,3,0,,#N/A
374,Naho,Sugiyuma,Naho Sugiyuma,Sugi Rock,"5' 1""",105 lbs.,--,,12,5,0,,#N/A
375,George,Sullivan,George Sullivan,The Silencer,"6' 0""",170 lbs.,"73.0""",Orthodox,17,7,0,,#N/A
376,Amar,Suloev,Amar Suloev,,"5' 9""",183 lbs.,--,Orthodox,24,7,0,,#N/A
377,Magomed,Sultanakhmedov,Magomed Sultanakhmedov,,"6' 2""",185 lbs.,--,Southpaw,18,6,0,,#N/A
378,Justin,Sumter,Justin Sumter,,"6' 2""",185 lbs.,"80.0""",Southpaw,7,3,0,,#N/A
379,Aji,Susilo,Aji Susilo,,"5' 10""",155 lbs.,--,,6,4,0,,#N/A
380,Jason,Suttie,Jason Suttie,Nobunaga,"6' 0""",210 lbs.,--,Orthodox,0,1,0,,#N/A
381,Joel,Sutton,Joel Sutton,,"5' 11""",205 lbs.,--,Orthodox,2,4,1,,#N/A
382,Chad,Sutton,Chad Sutton,,"6' 1""",185 lbs.,--,,2,2,0,,#N/A
383,Martin,Svensson,Martin Svensson,,"6' 1""",155 lbs.,--,,15,6,0,,#N/A
384,Daniel,Swain,Daniel Swain,,"5' 9""",145 lbs.,"70.0""",Orthodox,20,10,1,,#N/A
385,Cub,Swanson,Cub Swanson,,"5' 8""",145 lbs.,"70.0""",Orthodox,27,12,0,,#N/A
386,Mike,Swick,Mike Swick,Quick,"6' 1""",170 lbs.,"77.0""",Orthodox,15,6,0,,#N/A
387,Floyd,Sword,Floyd Sword,,"6' 0""",185 lbs.,--,Orthodox,12,3,0,,#N/A
388,Bentley,Syler,Bentley Syler,Bolivia,"5' 4""",125 lbs.,--,Orthodox,5,1,0,,#N/A
389,Kevin,Syler,Kevin Syler,El Nino Bala,"5' 9""",155 lbs.,"71.0""",Switch,10,1,0,,#N/A
390,Leo,Sylvest,Leo Sylvest,Lethal,"5' 11""",205 lbs.,--,Orthodox,10,16,0,,#N/A
391,Tony,Sylvester,Tony Sylvester,,"6' 1""",225 lbs.,--,Southpaw,11,3,0,,#N/A
392,Tim,Sylvia,Tim Sylvia,The Maine-iac,"6' 8""",265 lbs.,"80.0""",Orthodox,31,10,0,,#N/A
0,,, ,,,,,,,,,,#N/A
1,Osamu,Tachihikari,Osamu Tachihikari,,"6' 5""",300 lbs.,--,Orthodox,0,4,0,,#N/A
2,Amber,Tackett,Amber Tackett,,--,115 lbs.,--,,1,3,0,,#N/A
3,Eugenio,Tadeu,Eugenio Tadeu,,"5' 8""",160 lbs.,--,Orthodox,2,3,0,,#N/A
4,Justin,Tafa,Justin Tafa,Bad Man,"6' 0""",264 lbs.,"74.0""",Southpaw,4,2,0,,#N/A
5,Khalid,Taha,Khalid Taha,The Warrior,"5' 5""",135 lbs.,"69.0""",Orthodox,13,3,0,,#N/A
6,Joe,Taimanglo,Joe Taimanglo,The Juggernaut,"5' 4""",135 lbs.,--,,23,7,1,,#N/A
7,Mairbek,Taisumov,Mairbek Taisumov,Beckan,"5' 9""",155 lbs.,"73.0""",Orthodox,27,6,0,,#N/A
8,Nobuhiko,Takada,Nobuhiko Takada,,"6' 0""",220 lbs.,--,Southpaw,2,6,2,,#N/A
9,Yoshiki,Takahashi,Yoshiki Takahashi,Kazuo,"5' 11""",199 lbs.,--,Southpaw,30,27,3,,#N/A
10,Yoko,Takahashi,Yoko Takahashi,,"5' 8""",150 lbs.,--,,15,12,2,,#N/A
11,Daiju,Takase,Daiju Takase,,"6' 0""",170 lbs.,--,Southpaw,12,15,2,,#N/A
12,Hiroyuki,Takaya,Hiroyuki Takaya,Streetfight Bancho,"5' 6""",139 lbs.,--,Orthodox,21,14,2,,#N/A
13,Yoshihiro,Takayama,Yoshihiro Takayama,,"6' 5""",280 lbs.,--,Orthodox,1,4,0,,#N/A
14,Makoto,Takimoto,Makoto Takimoto,,"5' 7""",205 lbs.,--,Southpaw,6,5,0,,#N/A
15,Oleg,Taktarov,Oleg Taktarov,The Russian Bear,"6' 0""",210 lbs.,--,Orthodox,17,5,2,,#N/A
16,Nordine,Taleb,Nordine Taleb,,"6' 1""",170 lbs.,"74.0""",Orthodox,15,7,0,,#N/A
17,Tsuyoshi,Tamakairiki,Tsuyoshi Tamakairiki,,"6' 0""",220 lbs.,--,Orthodox,0,3,0,,#N/A
18,Eli,Tamez,Eli Tamez,Tomahawk,"5' 7""",135 lbs.,--,,10,0,0,,#N/A
19,Kiyoshi,Tamura,Kiyoshi Tamura,,"5' 11""",185 lbs.,--,Southpaw,32,13,3,,#N/A
20,Akitoshi,Tamura,Akitoshi Tamura,The Ironman,"5' 9""",135 lbs.,"70.0""",Orthodox,21,18,2,,#N/A
21,Issei,Tamura,Issei Tamura,,"5' 5""",135 lbs.,"63.0""",Orthodox,10,8,0,,#N/A
22,Jason,Tan,Jason Tan,,"5' 10""",170 lbs.,--,Orthodox,5,3,0,,#N/A
23,Akihito,Tanaka,Akihito Tanaka,Kinniku Mantaro,--,--,--,Southpaw,2,2,0,,#N/A
24,Michinori,Tanaka,Michinori Tanaka,,"5' 5""",135 lbs.,"67.0""",Orthodox,11,3,0,,#N/A
25,Evan,Tanner,Evan Tanner,,"6' 0""",185 lbs.,"74.0""",Orthodox,32,8,0,,#N/A
26,Manny,Tapia,Manny Tapia,The Mangler,"5' 5""",135 lbs.,"67.0""",Orthodox,12,14,1,,#N/A
27,Gary,Tapusoa,Gary Tapusoa,,"5' 7""",185 lbs.,--,,8,3,0,,#N/A
28,Miesha,Tate,Miesha Tate,Cupcake,"5' 6""",135 lbs.,"66.0""",Orthodox,18,7,0,,#N/A
29,Deividas,Taurosevicius,Deividas Taurosevicius,,"5' 9""",145 lbs.,"68.0""",Southpaw,17,5,0,,#N/A
30,Thiago,Tavares,Thiago Tavares,,"5' 7""",145 lbs.,"70.0""",Orthodox,21,7,1,,#N/A
31,Jeremy,Tavares,Jeremy Tavares,,--,135 lbs.,--,,1,6,0,,#N/A
32,Brad,Tavares,Brad Tavares,,"6' 1""",185 lbs.,"74.0""",Orthodox,18,7,0,,#N/A
33,Paul,Taylor,Paul Taylor,Relentless,"6' 0""",155 lbs.,"72.0""",Orthodox,11,6,1,,#N/A
34,Jesse,Taylor,Jesse Taylor,JT Money,"6' 0""",170 lbs.,"73.0""",Orthodox,31,15,0,,#N/A
35,Torrance,Taylor,Torrance Taylor,,"5' 7""",155 lbs.,--,,13,8,1,,#N/A
36,Louis,Taylor,Louis Taylor,Handgunz,"5' 11""",185 lbs.,--,Orthodox,13,4,0,,#N/A
37,Anthony,Taylor,Anthony Taylor,Pretty Boy,"5' 7""",145 lbs.,--,,1,3,0,,#N/A
38,Danielle,Taylor,Danielle Taylor,Dynamite,"5' 0""",115 lbs.,"60.0""",Orthodox,9,4,0,,#N/A
39,J.T,Taylor,J.T Taylor,The Outlaw,"5' 10""",--,--,,7,7,0,,#N/A
40,James,Te Huna,James Te Huna,,"6' 2""",185 lbs.,"75.0""",Orthodox,16,9,0,,#N/A
41,Shawn,Teed,Shawn Teed,,"6' 5""",265 lbs.,--,Orthodox,5,2,0,,#N/A
42,Glover,Teixeira,Glover Teixeira,,"6' 2""",205 lbs.,"76.0""",Orthodox,32,7,0,,#N/A
43,John,Teixeira,John Teixeira,Macapa,"5' 7""",145 lbs.,--,Orthodox,21,2,2,,#N/A
44,Ewerton,Teixeira,Ewerton Teixeira,,"6' 1""",242 lbs.,--,,3,1,0,,#N/A
45,Tra,Telligman,Tra Telligman,Trauma,"6' 2""",233 lbs.,--,Orthodox,7,5,1,,#N/A
46,Taneisha,Tennant,Taneisha Tennant,Triple Threat,"5' 7""",145 lbs.,"70.0""",Orthodox,5,1,0,,#N/A
47,Herman,Terrado,Herman Terrado,,--,170 lbs.,--,,15,3,1,,#N/A
48,Dave,Terrel,Dave Terrel,The Bionic,"5' 8""",170 lbs.,--,Southpaw,7,7,0,,#N/A
49,David,Terrell,David Terrell,The Soul Assassin,"6' 1""",185 lbs.,--,Southpaw,6,2,0,,#N/A
50,James,Terry,James Terry,Intensity,"5' 10""",170 lbs.,--,Orthodox,19,9,0,,#N/A
51,Jeff,Terry,Jeff Terry,,"6' 2""",205 lbs.,--,,2,3,0,,#N/A
52,David,Teymur,David Teymur,,"5' 9""",155 lbs.,"73.0""",Southpaw,8,2,0,,#N/A
53,Daniel,Teymur,Daniel Teymur,Kid Dynamite,"5' 5""",145 lbs.,"69.0""",Orthodox,7,4,0,,#N/A
54,Motonobu,Tezuka,Motonobu Tezuka,,"5' 7""",135 lbs.,--,Southpaw,28,12,7,,#N/A
55,Jason,Thacker,Jason Thacker,,"5' 10""",185 lbs.,--,Orthodox,0,1,0,,#N/A
56,Brandon,Thatch,Brandon Thatch,Rukus,"6' 2""",170 lbs.,"74.0""",Switch,11,5,0,,#N/A
57,Elias,Theodorou,Elias Theodorou,The Spartan,"6' 1""",185 lbs.,"75.0""",Orthodox,16,3,0,,#N/A
58,Nik,Theotikos,Nik Theotikos,,--,185 lbs.,--,Orthodox,6,2,0,,#N/A
59,Paulo,Thiago,Paulo Thiago,,"5' 11""",170 lbs.,"74.0""",Orthodox,18,9,0,,#N/A
60,Din,Thomas,Din Thomas,Dinyero,"5' 9""",155 lbs.,--,Orthodox,26,9,0,,#N/A
61,Ryan,Thomas,Ryan Thomas,The Tank Engine,"6' 0""",170 lbs.,--,Orthodox,20,8,0,,#N/A
62,Noah,Thomas,Noah Thomas,,"5' 9""",135 lbs.,--,Orthodox,14,7,0,,#N/A
63,Joel,Thomas,Joel Thomas,The NIce Guy,"5' 10""",170 lbs.,--,,5,2,0,,#N/A
64,Treston,Thomison,Treston Thomison,,"5' 8""",145 lbs.,--,,10,6,0,,#N/A
65,Nick,Thompson,Nick Thompson,The Goat,"6' 1""",170 lbs.,"74.0""",Orthodox,38,14,1,,#N/A
66,James,Thompson,James Thompson,The Colossus,"6' 5""",265 lbs.,--,Orthodox,20,16,0,,#N/A
